prey_max_transfer,prey_energy_reproduce,predator_energy_transfer,predator_energy_reproduce,nb_preys,nb_predators
0.3783767280633702,0.44331345401950817,0.2883159312328971,0.4422931369535561,1,0
0.3783767280633702,0.44331345401950817,0.2883159312328971,0.4422931369535561,66,13
0.3783767280633702,0.44331345401950817,0.2883159312328971,0.4422931369535561,34,12
0.06660711175818794,0.6900476035631975,0.1585418713443428,0.42201475445668013,19,0
0.06660711175818794,0.6900476035631975,0.1585418713443428,0.42201475445668013,18,0
0.06660711175818794,0.6900476035631975,0.1585418713443428,0.42201475445668013,43,0
0.12174261494189173,0.0698544461975927,0.24234200030941727,0.22239646405935382,95,0
0.12174261494189173,0.0698544461975927,0.24234200030941727,0.22239646405935382,0,3
0.12174261494189173,0.0698544461975927,0.24234200030941727,0.22239646405935382,250,4
0.44450954024333916,0.3704638676977332,0.7392560062956345,0.46713795831997507,0,2
0.44450954024333916,0.3704638676977332,0.7392560062956345,0.46713795831997507,36,15
0.44450954024333916,0.3704638676977332,0.7392560062956345,0.46713795831997507,50,15
0.05266640845708369,0.13219699305344534,0.8915257937920077,0.19706413678638812,9,0
0.05266640845708369,0.13219699305344534,0.8915257937920077,0.19706413678638812,51,0
0.05266640845708369,0.13219699305344534,0.8915257937920077,0.19706413678638812,449,5
0.26121717166670083,0.21787112025891298,0.43887678014017784,0.30745754843196893,1,0
0.26121717166670083,0.21787112025891298,0.43887678014017784,0.30745754843196893,0,4
0.26121717166670083,0.21787112025891298,0.43887678014017784,0.30745754843196893,98,11
0.08055434685519569,0.37008087164489756,0.943010875810337,0.40544556013919475,6,0
0.08055434685519569,0.37008087164489756,0.943010875810337,0.40544556013919475,6,0
0.08055434685519569,0.37008087164489756,0.943010875810337,0.40544556013919475,26,0
0.1577277741441606,0.48804638094677355,0.41205722425391633,0.5314058456127584,0,15
0.1577277741441606,0.48804638094677355,0.41205722425391633,0.5314058456127584,115,11
0.1577277741441606,0.48804638094677355,0.41205722425391633,0.5314058456127584,52,25
0.4432821237998391,0.6795713498395172,0.6896229790270111,0.9635317115037428,36,0
0.4432821237998391,0.6795713498395172,0.6896229790270111,0.9635317115037428,22,0
0.4432821237998391,0.6795713498395172,0.6896229790270111,0.9635317115037428,31,13
0.2909056889649296,0.5350161409471753,0.7089970354376064,0.6590849500863778,95,9
0.2909056889649296,0.5350161409471753,0.7089970354376064,0.6590849500863778,71,19
0.2909056889649296,0.5350161409471753,0.7089970354376064,0.6590849500863778,52,18
